,Post,Caption,Date,likes,id_father,id_child,username;
"156,B166OkVBPJR,@ffernando7777 😂😂😂,""Jan 12, 2020"",1,17936776861331620,17859372610674301,polo.dlm";
"157,B166OkVBPJR,@polo.dlm,""Jan 12, 2020"",1,17936776861331620,,ffernando7777";
"158,B166OkVBPJR,My wife has the same reaction.. 🤣😂😆🍌🌋,""Jan 14, 2020"",4,17941394167324891,,halfbakedpinoy";
"159,B166OkVBPJR,@loreehearst ❤️👏,""Nov 25, 2019"",1,17999008831277827,,stevehearst";
"160,B166OkVBPJR,Gay af,""Nov 26, 2019"",2,17863721992575090,,bavinport";
"161,B166OkVBPJR,""2029 : mom, why did people in 2019 often shocked by this normal acceleration?"",""Nov 26, 2019"",4,18032439976239380,,ottobismar1";
"162,B166OkVBPJR,Nice @garrettleight Kinneys!,""Nov 27, 2019"",0,18076919233157177,,revcates";
"163,B166OkVBPJR,Posts like this just make Tesla’s seem gay AF !,""Nov 28, 2019"",1,17847606424765789,,tariqkhans";
"164,B166OkVBPJR,@cabo4real_97 Lamborghini is better than a Tesla,""Mar 7, 2020"",1,17906348413389256,17857454788781828,taylorjones7726";
"165,B166OkVBPJR,@fearthespear__ so u are saying the Tesla is faster then a Lamborghini sure 🤦🏼‍♂️,""Mar 7, 2020"",1,17906348413389256,17851481641881746,taylorjones7726";
"166,B166OkVBPJR,""This car isn't scary!! Throw this women in a Lamborghini and ler her listen to the beautiful v12 singing or inside a Demon so she can hear the roar of a V8 mixed with the whine of a powerful supercharger and if you want to go crazier throw her inside a 1000hp supra and let her enjoy the """"sstustustutututu""""."",""Nov 28, 2019"",9,17906348413389256,,_grferreira";
"167,B166OkVBPJR,@valeriasancha 😂😂😂,""Nov 29, 2019"",1,17919767599361818,17845782280785406,martim.m";
"168,B166OkVBPJR,@martim.m em pasa aixo amb tu y e bmw tiooo jajajaj,""Nov 29, 2019"",1,17919767599361818,,valeriasancha";
"169,B166OkVBPJR,@mo.ali.tahery,""Dec 1, 2019"",0,17921403031357366,,taheri.hasan71";
"170,B166OkVBPJR,Ahahah that queer screams trust fund baby in his gay salmon v,""Dec 4, 2019"",5,18089633245122093,,danoleye";
"171,B166OkVBPJR,@juan_tep_58 😂😂😂😂😂😂 justo así me reí y esa era mi cara 😂😂😂😂😂,""Dec 4, 2019"",1,18013939351259972,17887517728445403,marielita_aam";
"172,B166OkVBPJR,@marielita_aam cuando sientes la velocidad en tu pancita jajaja,""Dec 4, 2019"",0,18013939351259972,,juan_tep_58";
"173,B166OkVBPJR,👌🏽👈🏽 🔝,""Dec 5, 2019"",0,17853280360694747,,jhosted";
"174,B166OkVBPJR,@funasaki.teron @cobilee25,""Dec 9, 2019"",2,18033476227227266,,albertlee_";
"175,B166OkVBPJR,@ingerbknudsen,""Nov 22, 2019"",1,17927381962334621,,eivindrs";
"176,B166OkVBPJR,@lysxvo myself,""Nov 22, 2019"",2,17934972190323817,,lysxvo";
"177,B166OkVBPJR,???,""Nov 22, 2019"",2,17930415376333995,,ashketchumponchu";
"178,B166OkVBPJR,Try it on a German highway,""Nov 23, 2019"",5,17845048984788492,,jakob.leander";
"179,B166OkVBPJR,Lol,""Nov 23, 2019"",1,17860408762602161,,jayboihd210.tv";
"180,B166OkVBPJR,@trine_oxholm,""Nov 23, 2019"",1,18116244298021238,,houlegraversen";
"181,B166OkVBPJR,@joe.last.insta,""Nov 23, 2019"",0,17920429054359046,,gypsytnt";
"182,B166OkVBPJR,@courtneyy95,""Nov 24, 2019"",1,17886372532442945,,grigzyy";
"183,B166OkVBPJR,@lindze.quillen,""Nov 25, 2019"",0,17843513845830664,,spewnewt";
"184,B166OkVBPJR,@shanonscully haha dude that side profile is uncanny! I’ve always wondered what shorter hair would look like on me tho. I like it.,""Nov 25, 2019"",0,17846447659762783,18115286797001835,trentankruger";
"185,B166OkVBPJR,@trentankruger when did you get a Tesla? Lol,""Nov 25, 2019"",2,17846447659762783,,shanonscully";
"186,B166OkVBPJR,@sincerely.niaa,""Nov 25, 2019"",2,17921590231356506,,atl.mumu";
"187,B166OkVBPJR,U should get her in a Dodge demon,""Nov 25, 2019"",6,17867355997548183,,general_parking_spot";
"188,B166OkVBPJR,@ted.ward12 yeah we all know that feeling! 🤪,""Nov 9, 2019"",1,17853634183635281,17863924981543450,ned.hibberd";
"189,B166OkVBPJR,@ned.hibberd @bellapug11,""Nov 9, 2019"",2,17853634183635281,,teddy_but_better";
"190,B166OkVBPJR,❤️,""Nov 13, 2019"",1,17988796999280422,,kiekste";
"191,B166OkVBPJR,@_jane_sim this will be fun,""Nov 16, 2019"",0,17870798908519496,,mattyrdunc";
"192,B166OkVBPJR,""@kingstage3 sorry, I love you 🤣🤣🤣"",""Nov 20, 2019"",1,17862023719564117,,beautythroughmyeyes";
"193,B166OkVBPJR,@chrishorton.90 this is us every day 😂😂😂,""Nov 22, 2019"",0,17893932634411265,17894820160419160,heather_nash_93_";
"194,B166OkVBPJR,@heathernash93,""Nov 22, 2019"",1,17893932634411265,,chrishorton.90";
"195,B166OkVBPJR,Girl is nice. U keep the car 👍👍,""Nov 22, 2019"",0,18041794681214521,,speedbooost";
"196,B166OkVBPJR,@farizxify,""Nov 22, 2019"",0,17920059172357718,,thatonesagittariusboi";
"197,B166OkVBPJR,🥱,""Nov 22, 2019"",0,17997807904274713,,rs.gera";
"198,B166OkVBPJR,@_yo_pauly_ bruh it literally feels like a roller coaster.. get yo bread up,""Nov 22, 2019"",6,18039372286221565,17845969762782756,s.ipa.brew";
"199,B166OkVBPJR,@_yo_pauly_ thought that expression looked familiar..almost caught sleepin..😎,""Nov 22, 2019"",1,18039372286221565,17846984938745709,bigolbear";
"200,B166OkVBPJR,She’s faking it...stay woke 😳,""Nov 22, 2019"",6,18039372286221565,,_yo_pauly_";
"201,B166OkVBPJR,Шкура потекла,""Nov 22, 2019"",0,18082264765138313,,art_yervin";
"202,B166OkVBPJR,@_gabriel_estrada,""Nov 22, 2019"",1,17897248828405655,,samueleestrada";
"203,B166OkVBPJR,I'll buy one if it gets her 💦💦,""Nov 22, 2019"",7,17850379888725808,,juliangutierrez5";
"204,B166OkVBPJR,@graham_matthew_80 😂,""Oct 15, 2019"",0,17875186765467678,,_jennrose_";
"205,B166OkVBPJR,All white interior? That must be a pain to clean,""Oct 16, 2019"",0,17846261734716660,,jerzyrep646";
"206,B166OkVBPJR,@kelvgram @chua.wa @alexis_maliksi 😜,""Oct 16, 2019"",1,18107190622032257,,ericoduke";
"207,B166OkVBPJR,""Nice sunnies choice, Wall is in da house 😎🤙🏻"",""Oct 16, 2019"",1,18036077374215137,,northweek";
"208,B166OkVBPJR,I need a Tesla in my life 🙏 It's all I think about day and night lol I'm obsessed #oneday,""Oct 17, 2019"",5,17848766482669241,,chronormcgregor";
"209,B166OkVBPJR,@olivergass,""Oct 18, 2019"",3,17884702552435581,,philipngass";
"210,B166OkVBPJR,@foldakr get ekki beðið eftir að gera þetta alla daga 👏🤪❤️,""Oct 21, 2019"",2,18107276812020099,,lollidsm";
"211,B166OkVBPJR,Lmfao I guess he never been under boost lol,""Oct 22, 2019"",2,17861497594544559,,sweetlou1320_";
"212,B166OkVBPJR,@aleixabrado siiiii😂✨,""Oct 24, 2019"",2,17899372636381945,18028261102231041,nataliacnbl";
"213,B166OkVBPJR,@nataliacnbl teletransporte,""Oct 24, 2019"",1,17899372636381945,,aleixabrado";
"214,B166OkVBPJR,@maryannplouv nous tout a l'heure,""Nov 2, 2019"",3,17856183178609032,,terikcroiset";
"215,B166OkVBPJR,CHECK OUT MY DM,""Nov 3, 2019"",0,17876738587474581,,_lukecarney";
"216,B166OkVBPJR,@hannah.wood,""Nov 4, 2019"",2,17882892082451266,,grant_branstetter";
"217,B166OkVBPJR,@franniee.b,""Sep 29, 2019"",1,18030556891220972,,dkouroupis99";
"218,B166OkVBPJR,@jhanda2480,""Sep 29, 2019"",0,18022538098226893,,allenjsz";
"219,B166OkVBPJR,@anikashetty_ pt 2,""Oct 3, 2019"",0,18085317247098447,,n_tiwarii";
"220,B166OkVBPJR,We can still have a future,""Oct 4, 2019"",2,17878267885444336,,kisuniastarshop";
"221,B166OkVBPJR,@freerkschuett,""Oct 4, 2019"",0,17851397863609205,,xjanxa";
"222,B166OkVBPJR,@rickrigoli 😂😂,""Oct 4, 2019"",0,17851378747614262,,jessica.rigoli";
"223,B166OkVBPJR,@osmaniacc jij bij mij 😒,""Oct 5, 2019"",1,18070717180132745,,cecilia.a.a.a";
"224,B166OkVBPJR,@mo.drips The acceleration of a Tesla?,""Oct 13, 2019"",2,18105087220049373,18009607513247664,ch_videography_llc";
"225,B166OkVBPJR,I don’t get this video ?,""Oct 6, 2019"",2,18105087220049373,,mo.drips";
"226,B166OkVBPJR,@lotte.dz we’ll see 😜,""Oct 13, 2019"",0,17892277189409071,18096066979078601,mrkennyv";
"227,B166OkVBPJR,@lotte.dz ... to be 🙌,""Oct 13, 2019"",0,17892277189409071,,mrkennyv";
"228,B166OkVBPJR,@xojaayyy 😂❤️🐸,""Oct 13, 2019"",0,18105238264025632,,steezyysosa";
"229,B166OkVBPJR,..Ohh man is this what @teslamotors has been working on with @lovensetoys .. i mean they both have HIUGE smiles and the women is in AW.. what more could you ask for,""Oct 13, 2019"",0,17992014115275430,,hammock_havens";
"230,B166OkVBPJR,@deanlalap 💩💩💩💩💩,""Sep 26, 2019"",0,18021009682233493,17849947339611723,helen_wadurmelon";
